Filename,Element_Type,Element_Description
test_model1.dat,Element 9,Three-dimensional Truss
test_model1.dat,Element 7,Three-dimensional Arbitrarily Distorted Brick
test_model2.dat,Element 7,Three-dimensional Arbitrarily Distorted Brick
test_model2.dat,Element 75,Bilinear Thick-shell Element
test_model2.dat,Element 98,Elastic or Inelastic Beam with Transverse Shear
test_model2.dat,Element 138,Bilinear Thin-triangular Shell Element
test_model3.dat,Element 75,Bilinear Thick-shell Element
test_model4.dat,Element 134,Three-dimensional Four-node Tetrahedron
test_model5.dat,Element 7,Three-dimensional Arbitrarily Distorted Brick
test_model5.dat,Element 75,Bilinear Thick-shell Element
