Filename,Element_Type,Number_of_Nodes,Number_of_DirectStress,Number_of_ShearStress,Number_of_IntegrationPoints,Number_of_DegreesofFreedom,Number_of_Coordinates,Updated_Lagrange_Available
test_model1.dat,9,2,1,0,1,2/3,2/3,Yes
test_model1.dat,7,8,3,3,8,3,3,Yes
test_model2.dat,7,8,3,3,8,3,3,Yes
test_model2.dat,75,4,2,3,4,6,3,Yes
test_model2.dat,98,2,1,2,1,6,6,Yes
test_model2.dat,138,3,2,1,1,6,3,Yes
test_model3.dat,75,4,2,3,4,6,3,Yes
test_model4.dat,134,4,3,3,1,3,3,Yes
test_model5.dat,7,8,3,3,8,3,3,Yes
test_model5.dat,75,4,2,3,4,6,3,Yes
